id;id_message;id_channel;date_create_message;last_name_channel;new_name_channel;is_aprove_change;last_link_to_channel;newlast_link_to_channel;last_price_channel;new_price_channel;add_description_about_channel;current_description_channel;add_region_channel;edit_region_channel;add_city_channel;edit_city_channel;user_id;user_name;is_approved_chanhes;comment;status;service_field_1;service_field_2;service_field_3
1;65034;5959;2023-02-11T19:11:30;HTTP out-of-the-box;Inverse Music;Metal;Hawaii fault-tolerant;Graphic;50651;96742;quantify sensor;synthesizing;Guinea-Bissau composite Chief;Pitcairn Concrete;functionalities best-of-breed;Borders invoice;54998;Rapids;false;pink Pennsylvania COM;up benchmark Belize;e-markets Outdoors generating;model;maroon
2;70134;60786;2023-02-12T08:17:21;application virtual virtual;Savings;Account bandwidth;FTP haptic;1080p Shoes Outdoors;22953;81509;primary policy connect;Berkshire Borders;Montserrat Money;deposit Legacy Massachusetts;Bhutan static Orchestrator;Applications Officer Awesome;3200;Refined Passage;true;target;Handcrafted;SQL invoice;Djibouti;of
3;99889;45008;2023-02-12T06:07:59;deposit;violet;Internal Home zero;multi-byte mobile invoice;magnetic;54758;65086;Account e-markets;JBOD;Tuna;Consultant Borders;Missouri generate;Coordinator Cambridgeshire;76910;action-items New Account;false;withdrawal Circles online;Integration mindshare Fiji;architectures;input;productize plum
4;86667;52102;2023-02-12T12:34:20;green next-generation connect;Specialist;index content mobile;scale navigate UIC-Franc;Jewelery;86313;43259;Supervisor;Paradigm deposit;Polynesia Sausages Avon;focus Intelligent Refined;transitional Computers;invoice Soft;54812;enhance;true;Associate;networks;Tala Baby;payment;Brand
5;3611;25956;2023-02-11T22:29:04;Home Djibouti distributed;compelling;Computer Hampshire;Response;Fresh withdrawal;27832;13445;B2C;JBOD Ethiopian;bluetooth Grocery Avon;initiatives SDD;fresh-thinking firewall;paradigms;6453;repurpose;false;Polarised Electronics empower;Human Latvia payment;Diverse Savings Ohio;composite Georgia;web Developer
6;48610;19521;2023-02-12T04:33:01;yellow green Practical;Bedfordshire Vermont;Reduced Versatile;array Facilitator Interactions;bypass Avon schemas;59942;51250;Land Table extend;Loop;multi-state Account;orange payment AI;Tools Directives;indexing black;19919;AI Metal;false;Officer mobile redundant;Account Hawaii Turnpike;generating Bedfordshire;Mississippi;wireless Guiana
7;22736;28498;2023-02-11T23:20:48;Accounts;Carolina;Avon;orchid Bahraini Pizza;target override Metal;88539;76422;content-based;reinvent;Strategist;driver green projection;Bacon Virginia;Bedfordshire override;94218;Tasty EXE;false;challenge Assimilated;Facilitator Kingdom;architect;virtual synthesize Salad;Manager Pants
8;31435;18526;2023-02-12T11:49:10;productize indexing Flat;Awesome;human-resource functionalities;Technician;auxiliary Lebanon;11243;52621;Tuna Steel Orchestrator;payment grow deposit;Money Analyst State);Cheese Checking Liaison;Buckinghamshire Concrete withdrawal;Cotton Account logistical;849;Loan moratorium;false;4th Card primary;Accounts open-source Fresh;Small;cross-platform viral Borders;reboot
9;3275;48077;2023-02-12T04:28:26;Movies bi-directional;content drive optical;invoice navigate;connect withdrawal;red;88672;89938;bifurcated cyan;Applications;calculate online Beauty;interactive optical;customer Mouse Refined;applications Industrial;92111;Tasty facilitate multi-byte;false;THX Music;Internal Electronics;Missouri;hack;Rapids
10;58427;98331;2023-02-12T13:37:26;Berkshire Bermuda Planner;next-generation channels monitor;technologies Soft;Buckinghamshire Fresh;Beauty;47096;827;B2B;Multi-layered;Concrete Guinea;definition Dynamic;methodical discrete Investment;Unbranded IB deposit;42631;reinvent HDD;true;Helena deposit;front-end;Fresh bandwidth;Drives multimedia Branding;Peru
